temp_amb;cara_1;cara_2;corriente;tiempo;diferencia
26,42;112,92;72,43;1,266236424;345160;40,49
26,42;112,97;72,49;1,264515996;345136;40,48
26,42;113,12;72,59;1,26236546;344932;40,53
26,42;113,22;72,71;1,266666532;344932;40,51
26,41;113,34;72,79;1,263655782;344880;40,55
26,42;113,45;72,88;1,266666532;344776;40,57
26,42;113,47;72,96;1,261935353;344792;40,51
26,41;113,52;73,04;1,266666532;344744;40,48
26,42;113,56;73,09;1,263225675;344808;40,47
26,42;113,6;73,19;1,263225675;344640;40,41
26,42;113,65;73,29;1,263225675;344628;40,36
26,42;113,73;73,34;1,264946103;344604;40,39
26,42;113,76;73,41;1,264085889;344580;40,35
26,42;113,83;73,5;1,262795568;344492;40,33
26,43;113,87;73,59;1,262795568;344584;40,28
26,42;113,95;73,68;1,26537621;344608;40,27
26,42;114,01;73,75;1,263225675;344420;40,26
26,42;114,08;73,85;1,26236546;344384;40,23
26,42;114,15;73,94;1,261075139;344436;40,21
26,41;114,23;74,03;1,263655782;344312;40,2
26,41;114,29;74,09;1,261075139;344464;40,2
26,41;114,34;74,19;1,26236546;344404;40,15
26,41;114,4;74,27;1,261935353;344312;40,13
26,4;114,49;74,34;1,264515996;344264;40,15
26,39;114,58;74,4;1,261505246;344096;40,18
26,4;114,6;74,48;1,264085889;344188;40,12
26,41;114,67;74,57;1,259354711;344184;40,1
26,41;114,71;74,64;1,262795568;344072;40,07
26,41;114,78;74,76;1,261505246;344048;40,02
26,42;114,86;74,84;1,261935353;344044;40,02
26,42;114,93;74,94;1,259354711;344080;39,99
26,42;115;74,97;1,261505246;344264;40,03
26,41;115,06;75,07;1,261075139;344416;39,99
26,43;115,07;75,11;1,259784818;344484;39,96
26,42;115,14;75,22;1,258064389;344788;39,92
26,43;115,23;75,31;1,260645032;344824;39,92
26,42;115,3;75,32;1,258494496;344828;39,98
26,43;115,36;75,42;1,261505246;345112;39,94
26,44;115,43;75,53;1,258494496;344820;39,9
26,46;115,47;75,62;1,261935353;344928;39,85
26,46;115,57;75,7;1,258494496;344784;39,87
26,46;115,64;75,76;1,261075139;344748;39,88
26,46;115,71;75,85;1,258494496;344836;39,86
26,47;115,78;75,91;1,260214925;344832;39,87
26,47;115,86;75,97;1,259784818;344864;39,89
26,48;115,9;76,09;1,258064389;344808;39,81
26,48;115,98;76,17;1,259354711;344944;39,81
26,48;116,06;76,24;1,258064389;344816;39,82
26,5;116,11;76,3;1,258924603;344956;39,81
26,5;116,19;76,36;1,257634282;345200;39,83
26,51;116,32;76,43;1,260214925;345484;39,89
26,51;116,37;76,46;1,257634282;345628;39,91
26,51;116,41;76,53;1,257204175;345732;39,88
26,53;116,46;76,57;1,260645032;345828;39,89
26,53;116,53;76,64;1,258494496;346108;39,89
26,53;116,6;76,7;1,258064389;346476;39,9
26,54;116,74;76,77;1,259784818;346688;39,97
26,54;116,84;76,82;1,258494496;346848;40,02
26,55;116,86;76,88;1,256774068;346696;39,98
26,55;116,93;76,97;1,263225675;346644;39,96
26,55;117,01;77,08;1,258064389;346292;39,93
26,55;117,07;77,21;1,255913854;345884;39,86
26,56;117,12;77,28;1,259354711;345632;39,84
26,57;117,23;77,31;1,256774068;345652;39,92
26,57;117,27;77,41;1,258494496;345312;39,86
26,57;117,32;77,55;1,256774068;345056;39,77
26,58;117,37;77,62;1,261075139;345028;39,75
26,57;117,42;77,67;1,258064389;345092;39,75
26,57;117,53;77,75;1,258064389;344656;39,78
26,56;117,62;77,84;1,258064389;344832;39,78
26,55;117,73;77,93;1,259784818;345124;39,8
26,54;117,8;77,96;1,256774068;345124;39,84
26,51;117,87;78,03;1,255483747;345312;39,84
26,49;117,95;78,08;1,258064389;345288;39,87
26,48;117,99;78,13;1,256774068;345320;39,86
26,46;118,04;78,16;1,261075139;345512;39,88
26,45;118,08;78,22;1,257204175;345660;39,86
26,44;118,18;78,27;1,258494496;345744;39,91
26,42;118,23;78,32;1,258064389;345688;39,91
26,39;118,35;78,38;1,255913854;345952;39,97
26,38;118,4;78,39;1,260214925;345828;40,01
26,34;118,48;78,45;1,258064389;345896;40,03
26,3;118,53;78,48;1,256774068;345840;40,05
26,29;118,64;78,55;1,259784818;345888;40,09
26,27;118,73;78,6;1,257204175;345800;40,13
26,26;118,76;78,62;1,259354711;345968;40,14
26,26;118,75;78,69;1,256774068;345924;40,06
26,27;118,79;78,77;1,257634282;346064;40,02
26,26;118,86;78,81;1,259354711;346004;40,05
26,27;118,87;78,87;1,256343961;346124;40
26,26;118,93;78,94;1,256774068;345960;39,99
26,26;118,99;78,97;1,258494496;345996;40,02
26,26;119,02;79,07;1,256343961;345692;39,95
26,26;119,09;79,16;1,260214925;345408;39,93
26,25;119,19;79,18;1,257634282;345420;40,01
26,23;119,28;79,27;1,255913854;345208;40,01
26,22;119,36;79,36;1,258064389;344972;40
26,22;119,46;79,45;1,258494496;344776;40,01
26,22;119,51;79,52;1,257634282;344780;39,99
26,22;119,52;79,6;1,256343961;344740;39,92
26,22;119,54;79,66;1,260214925;344776;39,88
26,22;119,59;79,68;1,257204175;344824;39,91
26,21;119,62;79,74;1,257204175;344776;39,88
26,22;119,71;79,82;1,255913854;344676;39,89
26,21;119,77;79,86;1,259354711;344688;39,91
26,21;119,83;79,92;1,257204175;344696;39,91
26,2;119,88;80;1,256774068;344624;39,88
26,18;119,92;80,06;1,255483747;344660;39,86
26,16;119,97;80,12;1,258494496;344612;39,85
26,16;120,06;80,15;1,257634282;344656;39,91
26,15;120,13;80,2;1,257634282;344744;39,93
26,13;120,21;80,27;1,255483747;344900;39,94
26,13;120,28;80,31;1,258924603;345100;39,97
26,12;120,33;80,35;1,255053639;345244;39,98
26,12;120,37;80,41;1,258064389;345136;39,96
26,1;120,43;80,46;1,255053639;345392;39,97
26,1;120,51;80,49;1,256774068;345540;40,02
26,1;120,57;80,54;1,257204175;345556;40,03
26,1;120,64;80,59;1,254623532;345736;40,05
26,09;120,73;80,66;1,259354711;345776;40,07
26,09;120,82;80,69;1,256774068;345868;40,13
26,09;120,86;80,77;1,253763318;345880;40,09
26,08;120,95;80,82;1,256774068;345784;40,13
